"Season","TeamName","Size","SizeRank","Hgt5","Hgt5Rank","Hgt4","Hgt4Rank","Hgt3","Hgt3Rank","Hgt2","Hgt2Rank","Hgt1","Hgt1Rank","HgtEff","HgtEffRank","Exp","ExpRank","Bench","BenchRank","Pts5","Pts5Rank","Pts4","Pts4Rank","Pts3","Pts3Rank","Pts2","Pts2Rank","Pts1","Pts1Rank","OR5","OR5Rank","OR4","OR4Rank","OR3","OR3Rank","OR2","OR2Rank","OR1","OR1Rank","DR5","DR5Rank","DR4","DR4Rank","DR3","DR3Rank","DR2","DR2Rank","DR1","DR1Rank","Continuity","RankContinuity"
"2025","Abilene Christian",77.31,165,-0.39,218,-0.84,281,-0.24,227,0.68,94,1.31,67,-0.62,260,1.34695,252,34.1,106,23.88,51,23.44,60,23.1,67,12.76,362,16.8,285,30.48,277,30.94,89,21.41,95,7.25,290,9.88,123,18.98,346,25.9,90,22.2,81,16.95,155,15.96,110,34.9058866500854,172
"2025","Air Force",78.16,49,1.18,61,-0.29,216,-0.06,187,1.09,61,2.88,6,0.45,120,1.78817,164,27.51,280,26.41,18,22.45,82,18.41,226,19.23,244,13.5,353,34.3,210,18.72,316,15.9,220,14.23,89,16.85,18,17.98,356,16.01,353,21.87,92,25.15,4,18.98,38,48.7824410200119,69
"2025","Akron",75.08,361,-1.93,350,-3.44,363,-2.15,359,-1.35,328,-1.74,323,-2.69,364,1.39564,246,39.3,24,19.67,158,17.45,266,20.76,143,17.49,289,24.61,61,45.87,26,19.14,309,15.47,226,12.06,138,7.41,212,32.36,23,19.23,300,20.69,120,15.78,202,11.91,304,23.8944783806801,250
"2025","Alabama",78.09,57,1.61,32,3.17,1,0.28,140,-0.53,257,-0.12,205,2.39,5,3.00644,9,37.96,44,15.17,316,19.38,193,18.63,217,21.28,142,25.5,45,29.74,289,28.12,142,27.07,25,9.9,215,5.13,317,27.62,132,29.43,24,19.56,162,11.9,337,11.43,317,44.0579473972321,109
"2025","Alabama A&M",76.76,253,0.63,107,-0.25,212,-0.62,268,-0.37,242,-1.61,313,0.19,147,0.864071,323,43.82,4,17.42,236,18.47,229,17.69,251,25.99,25,20.37,167,34.51,205,17.8,332,24.06,49,14.95,71,8.63,169,22.45,285,24.04,152,16.66,268,20.44,47,16.35,98,33.7940841913223,187
"2025","Alabama St.",76.63,277,0.95,83,-1.77,348,-1.81,349,-0.71,271,0.45,144,-0.41,225,1.61163,214,36.58,65,13.2,351,15.01,327,22.4,92,25.21,32,24.16,73,40.65,88,22.43,248,17.93,177,7.59,283,11.33,89,21.09,317,23.74,166,29.59,3,11.79,340,13.75,213,57.5382769107819,30
"2025","Albany",75.31,357,-1.6,333,-2.06,357,-1.11,306,-1.59,338,-3.12,355,-1.83,357,2.29954,74,24.31,323,16.95,255,21.98,91,20.22,165,19.63,221,21.21,145,27.63,321,22.51,246,23.63,54,16.55,47,9.68,130,25.26,202,26.68,73,15.44,319,17.84,114,14.78,158,17.0481830835342,288
"2025","Alcorn St.",75.61,349,-1.8,341,-1.06,302,-1.52,336,-2.46,350,-1.12,288,-1.43,337,0.941636,316,35.71,71,15.51,307,20.44,147,20.38,154,22.09,113,21.53,137,37,155,33.85,52,10.43,325,14.25,86,4.36,342,25.95,182,24.72,126,17.97,223,16.84,160,14.43,176,23.5608592629433,254
"2025","American",76.48,295,-0.55,226,-0.41,232,0.89,60,-0.71,272,-2.87,348,-0.48,239,2.53549,50,32.71,145,29.94,2,18.39,233,13.68,345,18.86,257,19.07,215,27.74,320,14.96,347,35.62,4,11.28,166,10.29,110,29.07,86,17.37,340,28.11,12,11.11,354,14.25,188,74.5739340782166,2
"2025","Appalachian St.",77.42,140,1.41,45,1.88,17,0.15,156,-1.34,326,-1.04,281,1.65,23,2.22991,84,25.68,304,25.51,27,19.76,174,12.85,359,14.47,354,27.38,25,34.91,199,43.91,1,9.25,339,5.44,334,6.46,259,27.17,147,22.57,205,13.89,345,14.02,282,22.33,8,22.7876991033554,256
